Title,Author
"The Jargon File, Version 2.9.10, July 1, 1992",Various
"Census of Population and Housing, 1990",The United States Bureau of the Census
The War of the Worlds,H. G. Wells
The Time Machine,H. G. Wells
Zen and the Art of the Internet,Brendan P. Kehoe C
The Scarlet Letter,Nathaniel Hawthorne
Herland,Charlotte Perkins Stetson Gilman
The Oedipus Trilogy,Sophocles
"The Bible, King James Version, Complete",Various
"Census of Population and Housing, 1990",The United States Bureau of the Census
Aesop's Fables,Aesop
Far from the Madding Crowd,Thomas Hardy
Paradise Lost,John Milton
O Pioneers!,Willa Cather
The Narrative of the Life of Frederick Douglass,Frederick Douglass
Aesop's Fables,Aesop
Paradise Lost,John Milton
The Song Of Hiawatha,Henry W. Longfellow
Federalist Papers,"Alexander Hamilton, John Jay, and James Madison"
The Book Of Mormon,Anonymous
Peter Pan,James M. Barrie C
Moby Dick,Herman Melville
The Hunting of the Snark,Lewis Carroll
Through the Looking-Glass,Lewis Carroll
Alice's Adventures in Wonderland,Lewis Carroll
"Lincoln's First Inaugural Address, March 4, 1861",Abraham Lincoln
"Lincoln's Second Inaugural Address, March 4, 1865",Abraham Lincoln
Give Me Liberty Or Give Me Death,Patrick Henry
The Story of the Volsungs,Anonymous
The Nibelungenlied,Unknown
"The Danish History, Books 1 through 9",Saxo Grammaticus
From London to Land's End,Daniel Defoe
The Itinerary of Archibishop Baldwin through Wales,Giraldus Cambrensis
From This World to the Next,Henry Fielding
Journal of A Voyage to Lisbon,Henry Fielding
Rupert of Hentzau,Anthony Hope
In the Cage,Henry James
Notes on Life and Letters,Joseph Conrad
Typhoon,Joseph Conrad
Latter-Day Pamphlets,Thomas Carlyle
Fisherman's Luck,Henry van Dyke
The Research Magnificent,H. G. Wells
A Lover's Complaint,William Shakespeare C
King Henry VIII,William Shakespeare C
The Tempest,William Shakespeare C
The Winter's Tale,William Shakespeare C
Cymbeline,William Shakespeare C
The Life of Timon of Athens,William Shakespeare C
The Tragedy of Coriolanus,William Shakespeare C
Antony and Cleopatra,William Shakespeare C
Macbeth,William Shakespeare C
King Lear,William Shakespeare C
"Othello, The Moor of Venice",William Shakespeare C
Measure for Measure,William Shakespeare C
All's Well that End's Well,William Shakespeare C
History of Troilus and Cressida,William Shakespeare C
Twelfth Night; or What You Will,William Shakespeare C
"Hamlet, Prince of Denmark",William Shakespeare C
As You Like It,William Shakespeare C
Julius Caesar,William Shakespeare C
King Henry V,William Shakespeare C
Much Ado about Nothing,William Shakespeare C
"King Henry IV, Part 2",William Shakespeare C
The Merry Wives of Windsor,William Shakespeare C
"King Henry IV, Part 1",William Shakespeare C
The Merchant of Venice,William Shakespeare C
A Midsummer Night's Dream,William Shakespeare C
Romeo and Juliet,William Shakespeare C
King Richard II,William Shakespeare C
King John,William Shakespeare C
Love's Labour's Lost,William Shakespeare C
Two Gentlemen of Verona,William Shakespeare C
The Taming of the Shrew,William Shakespeare C
Titus Andronicus,William Shakespeare C
The Shakespearian Sonnets,William Shakespeare C
The Comedy of Errors,William Shakespeare C
King Richard III,William Shakespeare C
"King Henry the Sixth, Part 3",William Shakespeare C
"King Henry the Sixth, Part 2",William Shakespeare C
"King Henry the Sixth, Part 1",William Shakespeare C
The Riverman,Stewart Edward White
"The Turmoil, A Novel",Booth Tarkington
Mrs. Warren's Profession,George Bernard Shaw
The Faith of Men,Jack London
The Light of Western Stars,Zane Grey
"Tamburlaine the Great, Part I",Christopher Marlowe
The Beast in the Jungle,Henry James
The Description of Wales,Geraldus Cambrensis
Heroes and Hero Worship,Thomas Carlyle
The Bickerstaff-Partridge Papers,Jonathan Swift
Moon-Face and Other Stories,Jack London
Rolf In The Woods,Ernest Thompson Seton
Baartock,Lewis Roth C
A Horse's Tale,Mark Twain
The Life of John Sterling,Thomas Carlyle
Recipes Tried and True,Presbyterian Ladies' Aid
The Arrow of Gold,Joseph Conrad
Voyage of The Paper Canoe,Nathaniel H. Bishop
Dead Souls,Nikolai Vasilievich Gogol
A Modest Proposal,Jonathan Swift
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
The Scouts of the Valley,Joseph A. Altsheler
The Mirror of Kong Ho,Ernest Bramah
The Wallet of Kai Lung,Ernest Bramah
The Strength of the Strong,Jack London
The Sea Wolf,Jack London
Nana and Other Stories,Emile Zola
William the Conqueror,Edward Augustus Freeman
The Raven,Edgar Allan Poe
The Masque of the Red Death,Edgar Allan Poe
The Cask of Amontillado,Edgar Allan Poe
Myths and Myth-Makers,John Fiske
Grass of Parnassus,Andrew Lang
The World Set Free,H. G. Wells
The Mirror of the Sea,Joseph Conrad
Poems,Oscar Wilde
Martin Eden,Jack London
Twixt Land & Sea,Joseph Conrad
A Collection of Ballads,Andrew Lang
Within The Tides,Joseph Conrad
"Step by Step, or, Tidy's Way to Freedom",The American Tract Society
Sartor Resartus,Thomas Carlyle
Dark Lady of the Sonnets,George Bernard Shaw
Vanished Arizona,Martha Summerhayes
The Ruling Passion,Henry van Dyke
The New Machiavelli,H. G. Wells
God The Invisible King,H. G. Wells
Venus and Adonis,William Shakespeare
Extract from Captain Stormfield's Visit to Heaven,Mark Twain
The Story of Evolution,Joseph McCabe
A Reading of Life,George Meredith
Shakespeare's Sonnets,William Shakespeare
The Three Taverns,Edwin Arlington Robinson
Missionary Travels and Researches in South Africa,David Livingstone
Style,Walter Raleigh
The Life of John Bunyan,Edmund Venables
Joe Wilson and His Mates,Henry Lawson
The Man Against the Sky,Edwin Arlington Robinson
Poems,Wilfred Owen
Rose O' the River,Kate Douglas Wiggin
The Pupil,Henry James
Charmides and Other Poems,Oscar Wilde
The Cavalier Songs and Ballads of England,Various
The Night-Born,Jack London
The Professor,Currer Bell
The Lone Star Ranger,Zane Grey
Diary of a Nobody,George and Weedon Grossmith
"Essays, Vol. 1",Benjamin Rumford
The Wrecker,Robert Louis Stevenson and Lloyd Osbourne
Bleak House,Charles Dickens
Walking,Henry David Thoreau
The Congo and Other Poems,Vachel Lindsay
Sword Blades and Poppy Seed,Amy Lowell
Poems,"Currer, Ellis, and Acton Bell"
The Soul of Man Under Socialism,Oscar Wilde
On the Improvement of the Understanding,Baruch Spinoza
The Oregon Trail,"Francis Parkman, Jr."
The Lure of the Dim Trails,B. M. Bower
The First Men In The Moon,H. G. Wells
"Divine Comedy, Complete",Dante Alighieri
"Divine Comedy, Paradise",Dante Alighieri
"Divine Comedy, Purgatory",Dante Alighieri
"Divine Comedy, Hell",Dante Alighieri
"Divine Comedy, Complete",Dante Alighieri
"Divine Comedy, Paradise",Dante Alighieri
"Divine Comedy, Purgatory",Dante Alighieri
"Divine Comedy, Inferno",Dante Alighieri
Don Quixote,Miqeul de Cervantes Saavedra
Ballads of a Bohemian,Robert W. Service
Riders to the Sea,J. M. Synge
Malbone: An Oldport Romance,Thomas W. Higginson
"A Theological-Political Treatise, Part 4",Benedict of Spinoza
"A Theological-Political Treatise, Part 3",Benedict of Spinoza
"A Theological-Political Treatise, Part 2",Benedict of Spinoza
"A Theological-Political Treatise, Part 1",Benedict of Spinoza
The Education of the Child,Ellen Key
Master and Man,Leo Tolstoy
Father Sergius,Leo Tolstoy
Who Was Who: 5000 B. C. to Date,"Anonymous,"
"Tour through the Eastern Counties of England, 1722",Daniel Defoe
Book of Nonsense,Edward Lear
Beowulf,Anonymous
Alice Adams,Booth Tarkington
Heroes of the Telegraph,J. Munro
The Yates Pride,Mary E. Wilkins Freeman
American Notes,Rudyard Kipling
Tanglewood Tales,Nathaniel Hawthorne
"The Ethics, Part 5",Benedict de Spinoza
The Secret Agent,Joseph Conrad
Howard Pyle's Book of Pirates,Howard Pyle
The Devil's Dictionary,Ambrose Bierce
"The Ethics, Part 4",Benedict de Spinoza
Uncle Josh's Punkin Centre Stories,Cal Stewart
The Tenant of Wildfell Hall,Anne Bronte
Life And Adventures Of Martin Chuzzlewit,Charles Dickens
The Life And Adventures Of Nicholas Nickleby,Charles Dickens
Maid Marian,Thomas Love Peacock
The Black Tulip,Alexandre Dumas
The Merry Adventures of Robin Hood,Howard Pyle
Little Dorrit,Charles Dickens
The Poems of Henry Kendall,Henry Kendall
Glinda of Oz,L. Frank Baum
The Tin Woodman of Oz,Baum
The Lost Princess of Oz,Baum
Rinkitink In Oz,L. Frank Baum
The Scarecrow of Oz,L. Frank Baum
Tik-Tok of Oz,L. Frank Baum
The Patchwork Girl of Oz,L. Frank Baum
Tom Swift and his War Tank,Victor Appleton
Tom Swift and his Big Tunnel,Victor Appleton
Tom Swift and his Air Glider,Victor Appleton
Tom Swift and his Sky Racer,Victor Appleton
Tom Swift and his Electric Runabout,Victor Appleton
Tom Swift and his Submarine Boat,Victor Appleton
"The Ethics, Part 3",Benedict de Spinoza
The Life of Horatio Lord Nelson,Robert Southey
Lady Susan,Jane Austen
Dust,Mr. and Mrs. Haldeman-Julius
The Voyage of the Beagle,Charles Darwin
Misalliance,George Bernard Shaw
Green Mansions,W. H. Hudson
Just Folks,Edgar A. Guest
The Last of the Mohicans,James Fenimore Cooper
The Life of Thomas Telford,Samuel Smiles
Good Indian,B. M. Bower
"Poems: Patriotic, Religious, and Miscellaneous",Father Ryan
Village Watch-Tower,Kate Douglas Wiggin
Self-Help,Samuel Smiles
More Bab Ballads,W. S. Gilbert
Fall of the House of Usher,Edgar Allan Poe
The Bab Ballads,W. S. Gilbert
The Cook's Decameron: A Study in Taste,Mrs. W. G. Waters
The Real Cyberpunk Fakebook,"St. Jude, R. U. Sirius, and Bart Nagel C"
Alice's Adventures In Wonderland,Lewis Carroll
The Lamplighter,Charles Dickens
"10,000 Dreams Interpreted",Gustavus Hindman Miller
United States Presidents' Inaugural Speeches,Various
To be Read at Dusk,Charles Dickens
Sketch of the Life of Brig. Gen. Francis Marion,William Dobein James
Sunday under Three Heads,Charles Dickens
De Profundis,Oscar Wilde
"The Ethics, Part 2",Benedict de Spinoza
"The Ethics, Part 1",Benedict de Spinoza
Sketches of Young Gentlemen,Charles Dickens
Barnaby Rudge,Charles Dickens
Sketches of Young Couples,Charles Dickens
Library Work with Children,Alice I. Hazeltine
The Uncommercial Traveller,Charles Dickens
A Hero of Our Time,M. Y. Lermontov
The Mudfog and Other Sketches,Charles Dickens
Tales of the Fish Patrol,Jack London
White Fang,Jack London
The Adventures of Colonel Daniel Boone,John Filson
A Treatise on Parents and Children,George Bernard Shaw
Flying Machines,W. J. Jackman and Thos. H. Russell
Abraham Lincoln,James Russell Lowell
Within the Law,Marvin Dana
Her Father's Daughter,Gene Stratton-Porter
The White Company,Arthur Conan Doyle
The Happy Prince,Oscar Wilde
The Jew of Malta,Christopher Marlowe
Wonderful Balloon Ascents,Fulgence Marion
The Lesson of the Master,Henry James
The Rose and the Ring,William Makepeace Thackeray
Orations,John Quincy Adams
"History of The Decline and Fall of the Roman Empire, Vol. 6",Edward Gibbon
"History of The Decline and Fall of the Roman Empire, Vol. 5",Edward Gibbon
"History of The Decline and Fall of the Roman Empire, Vol. 4",Edward Gibbon
"History of The Decline and Fall of the Roman Empire, Vol. 3",Edward Gibbon
"History of The Decline and Fall of the Roman Empire, Vol. 2",Edward Gibbon
"History of The Decline and Fall of the Roman Empire, Vol. 1",Edward Gibbon
Two Years in the Forbidden City,The Princess Der Ling
The Lazy Tour of Two Idle Apprentices,Charles Dickens
Intentions,Oscar Wilde
Letters from the Cape,Lady Duff Gordon
An Ideal Husband,Oscar Wilde
Memoirs of Extraordinary Popular Delusions,Charles Mackay
Our Mutual Friend,Charles Dickens
Sketches,"Boz,"
Lemorne Versus Huell,Elizabeth Drew Stoddard
My Garden Acquaintance,James Russell Lowell
The Boy Captives,John Greenleaf Whittier
Yankee Gypsies,John Greenleaf Whittier
Little Britain,Washington Irving
Life in the Iron-Mills,Rebecca Harding Davis
The Duchess of Padua,Oscar Wilde
A History of Aeronautics,E. Charles Vivian
A House of Pomegranates,Oscar Wilde
Reprinted Pieces,Charles Dickens
The Love of Ulrich Nebendahl,Jerome K. Jerome
The Soul of Nicholas Snyders,Jerome K. Jerome
The Philosopher's Joke,Jerome K. Jerome
Mrs. Korner Sins Her Mercies,Jerome K. Jerome
The Cost of Kindness,Jerome K. Jerome
Passing of the Third Floor Back,Jerome K. Jerome
The Master of Ballantrae,Robert Louis Stevenson
The Mysterious Affair at Styles,Agatha Christie
"Philosophy 4, A Story of Harvard University",Owen Wister
The Dominion of the Air,J. M. Bacon
Baby Mine,Margaret Mayo
Polly of the Circus,Margaret Mayo
Stage-Land,Jerome K. Jerome
Evergreens,Jerome K. Jerome
Dreams,Jerome K. Jerome
Clocks,Jerome K. Jerome
A Woman of No Importance,Oscar Wilde
The Confutatio Pontificia,Anonymous
Democracy and Education,John Dewey
Captivity and Restoration of Mrs. Mary Rowlandson,Mary Rowlandson
Tom Grogan,F. Hopkinson Smith
Idle Thoughts of an Idle Fellow,Jerome K. Jerome
The Black Arrow,Robert Louis Stevenson
Lays of Ancient Rome,Thomas Babbington Macaulay
The Life of Gen. Francis Marion,Mason Locke Weems
Poems of Henry Timrod,Henry Timrod
The Importance of Being Earnest,Oscar Wilde
The Life of Francis Marion,W. Gilmore Simms
Memoirs of Carwin the Biloquist,Charles Brockden Brown
"Men, Women and Ghosts",Amy Lowell
"Lorna Doone, A Romance of Exmoor",R. D. Blackmore
New Arabian Nights,Robert Louis Stevenson
"Jasmin: Barber, Poet, Philanthropist",Samuel Smiles
The Story of the Amulet,E. Nesbit
The Phoenix and the Carpet,E. Nesbit
The Grey Brethren and Other Fragments in Prose and Verse,Michael Fairless
The Theory of the Leisure Class,Thorstein Veblen
Robin Hood,J. Walker McSpadden
Four Arthurian Romances,Chretien DeTroyes
The Argonautica,Apollonius Rhodius
Gulliver's Travels,Jonathan Swift
The Life of St. Declan of Ardmore,Anonymous
The Tarn of Eternity,Frank Tymon C
Dombey and Son,Charles Dickens
"Edison, His Life and Inventions",Frank Lewis Dyer and Thomas Commerford Martin
The History of the Telephone,Herbert N. Casson
The Aeroplane Speaks,H. Barber
"The Jargon File, Version 4.0.0, 24 Jul 1996",Eric S. Raymond and Guy L. Steele
"Democracy In America, Vol. 2 of 2",Alexis de Toqueville
"Democracy In America, Vol. 1 of 2",Alexis de Toqueville
Hunting Sketches,Anthony Trollope
Reminiscences of Tolstoy,Ilya Tolstoy
"Catalan's Constant to 1,500,000 Places",Thomas Papanikolaou
The Tragical History of Doctor Faustus,Christopher Marlowe
George Silverman's Explanation,Charles Dickens
Holiday Romance,Charles Dickens
Hunted Down,Charles Dickens
Philoktetes,Sophocles C
This Side of Paradise,F. Scott Fitzgerald
A Sentimental Journey Through France and Italy,Laurence Sterne
Ballads and Lyrics of Old France,Andrew Lang
The Wouldbegoods,E. Nesbit
Aeroplanes and Dirigibles of War,Frederick A. Talbot
"Wieland, or The Transformation",Charles Brockden Brown
The Princess,Alfred Lord Tennyson
Lady Windermere's Fan,Oscar Wilde
The Gathering of Brother Hilarius,Michael Fairless
The Red One,Jack London
The Man Between,Amelia E. Barr
Hard Times,Charles Dickens
Of The Nature of Things,Lucretius
Boyhood in Norway,Hjalmar Hjorth Boyesen
The Lost City,"Joseph E. Badger, Jr."
The Travels of Sir John Mandeville,John Mandeville
The Sinking of the Titanic,Various
The War in the Air,H. G. Wells
The Tragical History of Doctor Faustus,Christopher Marlowe
Five Children and It,E. Nesbit
The Mastery of the Air,William J. Claxton
Hermione's Group of Thinkers,Don Marquis
When the Sleeper Wakes,Herbert George Wells
Essays and Lectures,Oscar Wilde
Lord Arthur Savile's Crime,Oscar Wilde
Moral Emblems,Robert Louis Stevenson
Biog Notes on the Pseudonymous Bells,Charlotte Brontë
The Story of the Treasure Seekers,E. Nesbit
Westward Ho!,Charles Kingsley
Plain Tales from the Hills,Rudyard Kipling
Initials Only,Anna Katharine Green
Cousin Pons,Honore de Balzac
Ban and Arriere Ban,Andrew Lang
Catherine de' Medici,Honore de Balzac
The Ninth Vibration and Other Stories,L. Adams Beck
Lucile,Owen Meredith
The Woman in the Alcove,Anna Katharine Green
Old Christmas,Washington Irving
The Yellow Crayon,E. Phillips Oppenheim
Montezuma's Daughter,H. Rider Haggard
"Songs, Merry and Sad",John Charles McNeill
The Vision Spendid,William MacLeod Raine
Zuleika Dobson,Max Beerbohm
The Scholemaster,Roger Ascham
Vera,Richard Harding Davis
Michael Strogoff,Jules Verne
Z. Marcas,Honore de Balzac
The Financier,Theodore Dreiser
Other Things Being Equal,Emma Wolf
A New Voyage to Carolina,John Lawson
The Prince and The Pauper,Mark Twain
The Case of the Golden Bullet,Augusta Groner
The Case of The Pool of Blood in the Pastor's Study,Augusta Groner
The Case of The Pocket Diary Found in the Snow,Augusta Groner
The Case of the Registered Letter,Augusta Groner
The Lamp That Went Out,Augusta Groner
"The Lock and Key Library, Classic Mystery and Detective Stories - Old Time English",Various
Wyndham Towers,Thomas Bailey Aldrich
Mae Madden,Mary Murdoch Mason
Chronicles of the Canongate,Walter Scott
"The Life of Charlotte Bronte, Vol. 1",Elizabeth Gaskell
Sarrasine,Honore de Balzac
The Adventures of Reddy Fox,Thornton W. Burgess
Peace Manoeuvres,Richard Harding Davis
The Make-Believe Man,Richard Harding Davis
The Amateur,Richard Harding Davis
A Charmed Life,Richard Harding Davis
A Wasted Day,Richard Harding Davis
The Messengers,Richard Harding Davis
The Spy,Richard Harding Davis
A Question of Latitude,Richard Harding Davis
Tattine,Ruth Ogden
The Boys' Life of Abraham Lincoln,Helen Nicolay
The Agony Column,Earl Derr Biggers
A Man of Business,Honore de Balzac
A Prince of Bohemia,Honore de Balzac
Massimilla Doni,Honore de Balzac
A Second Home,Honore de Balzac
Bucky O'Connor,William MacLeod Raine
"The Log of The ""Jolly Polly""",Richard Harding Davis
